order_id,order_date,order_year,order_month,order_month_name,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,list_price,discount_percent,selling_price,sales,total_cost,profit,profit_margin_pct
21,2022-10-05,2022,10,October,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,4,20,2,19.6,78.4,80,-1.5999999999999943,-2.0408163265306047
22,2023-07-16,2023,7,July,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,7,20,4,19.2,134.4,140,-5.599999999999994,-4.1666666666666625
23,2023-05-06,2023,5,May,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,7,60,3,58.199999999999996,407.4,350,57.39999999999998,14.089347079037795
24,2023-05-21,2023,5,May,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,2,70,4,67.2,134.4,120,14.400000000000006,10.714285714285717
25,2023-02-24,2023,2,February,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,3,1040,5,988.0,2964.0,2700,264.0,8.906882591093117
26,2022-06-20,2022,6,June,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,2,10,5,9.5,19.0,20,-1.0,-5.263157894736842
27,2022-02-08,2022,2,February,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,3,90,3,87.3,261.9,240,21.899999999999977,8.361970217640312
28,2023-12-11,2023,12,December,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,7,3080,3,2987.6,20913.2,19180,1733.2000000000007,8.287588699959837
29,2022-08-21,2022,8,August,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,2,10,5,9.5,19.0,20,-1.0,-5.263157894736842
30,2022-08-14,2022,8,August,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,3,120,4,115.19999999999999,345.59999999999997,300,45.599999999999966,13.194444444444436
31,2022-11-20,2022,11,November,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,2,0,5,0.0,0.0,0,0.0,
32,2023-01-19,2023,1,January,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,6,90,4,86.39999999999999,518.4,420,98.39999999999998,18.981481481481477
33,2023-01-30,2023,1,January,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,6,10,5,9.5,57.0,60,-3.0,-5.263157894736842
34,2022-06-03,2022,6,June,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,2,20,4,19.2,38.4,40,-1.6000000000000014,-4.1666666666666705
35,2022-09-28,2022,9,September,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,3,30,3,29.099999999999998,87.3,90,-2.700000000000003,-3.0927835051546424
36,2022-10-30,2022,10,October,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,7,1100,5,1045.0,7315.0,7140,175.0,2.3923444976076556
37,2023-07-27,2023,7,July,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,5,190,4,182.4,912.0,900,12.0,1.3157894736842104
38,2023-03-07,2023,3,March,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,9,110,2,107.8,970.1999999999999,810,160.19999999999993,16.51205936920222
39,2023-08-18,2023,8,August,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,3,530,2,519.4,1558.1999999999998,1380,178.19999999999982,11.436272622256439
40,2022-01-20,2022,1,January,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,3,210,2,205.79999999999998,617.4,600,17.399999999999977,2.8182701652089373
41,2023-06-29,2023,6,June,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,4,370,5,351.5,1406.0,1400,6.0,0.42674253200568996
42,2022-06-28,2022,6,June,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,4,150,3,145.5,582.0,560,22.0,3.7800687285223367
43,2023-02-09,2023,2,February,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,2,80,5,76.0,152.0,140,12.0,7.894736842105263
44,2023-09-18,2023,9,September,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,2,100,4,96.0,192.0,180,12.0,6.25
45,2022-11-11,2022,11,November,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,2,50,2,49.0,98.0,80,18.0,18.367346938775512
46,2022-05-27,2022,5,May,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,2,20,5,19.0,38.0,40,-2.0,-5.263157894736842
47,2023-02-03,2023,2,February,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,4,210,4,201.6,806.4,720,86.39999999999998,10.714285714285712
48,2022-02-16,2022,2,February,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,3,50,5,47.5,142.5,150,-7.5,-5.263157894736842
49,2022-05-06,2022,5,May,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,2,20,4,19.2,38.4,40,-1.6000000000000014,-4.1666666666666705
50,2023-06-18,2023,6,June,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,6,40,4,38.4,230.39999999999998,180,50.39999999999998,21.874999999999993
51,2022-01-11,2022,1,January,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,6,80,4,76.8,460.79999999999995,420,40.799999999999955,8.854166666666657
52,2023-09-09,2023,9,September,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,2,10,4,9.6,19.2,20,-0.8000000000000007,-4.1666666666666705
53,2022-01-31,2022,1,January,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,1,90,5,85.5,85.5,70,15.5,18.128654970760234
54,2023-07-30,2023,7,July,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,7,20,3,19.4,135.79999999999998,140,-4.200000000000017,-3.092783505154652
55,2023-10-17,2023,10,October,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,5,1030,4,988.8,4944.0,4250,694.0,14.037216828478966
56,2023-07-06,2023,7,July,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,6,210,5,199.5,1197.0,1200,-3.0,-0.2506265664160401
57,2023-09-15,2023,9,September,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,5,30,5,28.5,142.5,150,-7.5,-5.263157894736842
58,2022-08-09,2022,8,August,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,5,320,2,313.6,1568.0,1450,118.0,7.525510204081633
59,2022-04-05,2022,4,April,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,2,10,4,9.6,19.2,20,-0.8000000000000007,-4.1666666666666705
60,2023-06-24,2023,6,June,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,2,30,5,28.5,57.0,40,17.0,29.82456140350877
61,2022-03-10,2022,3,March,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,4,50,2,49.0,196.0,160,36.0,18.367346938775512
62,2023-04-08,2023,4,April,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,1,0,5,0.0,0.0,0,0.0,
63,2023-10-16,2023,10,October,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,2,10,3,9.7,19.4,20,-0.6000000000000014,-3.0927835051546464
64,2023-08-02,2023,8,August,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,6,30,2,29.4,176.39999999999998,120,56.39999999999998,31.97278911564625
65,2022-11-05,2022,11,November,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,3,150,5,142.5,427.5,390,37.5,8.771929824561402
66,2022-05-06,2022,5,May,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,4,80,2,78.4,313.6,280,33.60000000000002,10.71428571428572
67,2022-03-26,2022,3,March,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,5,210,5,199.5,997.5,900,97.5,9.774436090225564
68,2022-04-10,2022,4,April,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,8,1110,3,1076.7,8613.6,7520,1093.6000000000004,12.696201355995173
69,2022-08-12,2022,8,August,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,4,170,3,164.9,659.6,640,19.600000000000023,2.9714978775015193
70,2022-02-25,2022,2,February,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,2,80,2,78.4,156.8,140,16.80000000000001,10.71428571428572
71,2022-11-29,2022,11,November,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,1,0,3,0.0,0.0,0,0.0,
72,2022-12-18,2022,12,December,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,3,20,3,19.4,58.199999999999996,60,-1.8000000000000043,-3.0927835051546464
73,2023-03-07,2023,3,March,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,8,830,2,813.4,6507.2,6320,187.19999999999982,2.876813375952788
74,2023-07-12,2023,7,July,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,2,100,3,97.0,194.0,180,14.0,7.216494845360824
75,2022-10-21,2022,10,October,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,1,70,2,68.6,68.6,60,8.599999999999994,12.53644314868804
76,2023-04-17,2023,4,April,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,3,0,4,0.0,0.0,0,0.0,
77,2023-05-20,2023,5,May,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,3,10,4,9.6,28.799999999999997,30,-1.2000000000000028,-4.166666666666677
78,2023-05-13,2023,5,May,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,3,30,2,29.4,88.19999999999999,60,28.19999999999999,31.97278911564625
79,2022-10-20,2022,10,October,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,5,20,2,19.6,98.0,100,-2.0,-2.0408163265306123
80,2023-10-22,2023,10,October,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,1,210,3,203.7,203.7,190,13.699999999999989,6.725576828669606
81,2022-07-20,2022,7,July,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,3,20,2,19.6,58.800000000000004,60,-1.1999999999999957,-2.0408163265306047
82,2022-11-16,2022,11,November,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,5,10,5,9.5,47.5,50,-2.5,-5.263157894736842
83,2022-11-10,2022,11,November,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,1,20,4,19.2,19.2,20,-0.8000000000000007,-4.1666666666666705
84,2022-03-15,2022,3,March,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,7,200,3,194.0,1358.0,1260,98.0,7.216494845360824
85,2023-10-03,2023,10,October,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,3,230,2,225.4,676.2,630,46.200000000000045,6.832298136645969
86,2022-03-20,2022,3,March,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,2,300,5,285.0,570.0,520,50.0,8.771929824561402
87,2023-12-04,2023,12,December,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,20,5,19.0,19.0,20,-1.0,-5.263157894736842
88,2023-11-24,2023,11,November,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,2,10,5,9.5,19.0,20,-1.0,-5.263157894736842
89,2023-12-30,2023,12,December,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,7,160,5,152.0,1064.0,980,84.0,7.894736842105263
90,2022-05-23,2022,5,May,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,3,20,2,19.6,58.800000000000004,60,-1.1999999999999957,-2.0408163265306047
91,2023-04-06,2023,4,April,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,2,70,2,68.6,137.2,120,17.19999999999999,12.53644314868804
92,2022-03-23,2022,3,March,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,1,10,2,9.8,9.8,10,-0.1999999999999993,-2.0408163265306047
93,2023-04-07,2023,4,April,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,2,10,2,9.8,19.6,20,-0.3999999999999986,-2.0408163265306047
94,2022-05-13,2022,5,May,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,50,5,47.5,142.5,150,-7.5,-5.263157894736842
95,2022-04-23,2022,4,April,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,2,30,3,29.099999999999998,58.199999999999996,40,18.199999999999996,31.271477663230236
96,2023-12-17,2023,12,December,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,1,10,2,9.8,9.8,10,-0.1999999999999993,-2.0408163265306047
97,2022-04-28,2022,4,April,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,7,100,5,95.0,665.0,560,105.0,15.789473684210526
98,2023-06-14,2023,6,June,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,3,50,4,48.0,144.0,120,24.0,16.666666666666664
99,2023-02-05,2023,2,February,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,6,80,3,77.6,465.59999999999997,420,45.599999999999966,9.793814432989684
100,2023-12-30,2023,12,December,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,7,60,3,58.199999999999996,407.4,420,-12.600000000000023,-3.092783505154645
101,2022-02-24,2022,2,February,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,100,5,95.0,285.0,240,45.0,15.789473684210526
102,2022-07-25,2022,7,July,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,3,0,3,0.0,0.0,0,0.0,
103,2022-01-14,2022,1,January,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,4,20,4,19.2,76.8,80,-3.200000000000003,-4.1666666666666705
104,2022-12-22,2022,12,December,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,240,3,232.79999999999998,1396.8,1320,76.79999999999995,5.498281786941578
105,2022-06-09,2022,6,June,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,100,5,95.0,285.0,270,15.0,5.263157894736842
106,2023-10-28,2023,10,October,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,3,40,5,38.0,114.0,90,24.0,21.052631578947366
107,2022-10-18,2022,10,October,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,8,70,5,66.5,532.0,480,52.0,9.774436090225564
108,2022-11-23,2022,11,November,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,1,30,3,29.099999999999998,29.099999999999998,30,-0.9000000000000021,-3.0927835051546464
109,2023-10-12,2023,10,October,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,1,0,3,0.0,0.0,0,0.0,
110,2023-03-17,2023,3,March,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,340,2,333.2,1666.0,1450,216.0,12.965186074429772
111,2023-09-05,2023,9,September,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,2,40,2,39.2,78.4,60,18.400000000000006,23.469387755102048
112,2022-01-28,2022,1,January,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,2,80,3,77.6,155.2,140,15.199999999999989,9.793814432989684
113,2022-12-26,2022,12,December,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,6,30,3,29.099999999999998,174.6,180,-5.400000000000006,-3.0927835051546424
114,2023-06-06,2023,6,June,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,14,40,2,39.2,548.8000000000001,560,-11.199999999999932,-2.0408163265305994
115,2023-11-08,2023,11,November,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,2,0,4,0.0,0.0,0,0.0,
116,2022-11-15,2022,11,November,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,3,20,4,19.2,57.599999999999994,60,-2.4000000000000057,-4.166666666666677
117,2022-06-30,2022,6,June,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,6,130,5,123.5,741.0,720,21.0,2.834008097165992
118,2023-10-27,2023,10,October,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,790,4,758.4,2275.2,2160,115.19999999999982,5.063291139240499
119,2023-07-19,2023,7,July,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,1,160,5,152.0,152.0,140,12.0,7.894736842105263
120,2023-03-30,2023,3,March,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,50,3,48.5,145.5,150,-4.5,-3.0927835051546393
121,2022-03-03,2022,3,March,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,4,30,2,29.4,117.6,80,37.599999999999994,31.972789115646254
122,2022-10-20,2022,10,October,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,6,230,2,225.4,1352.4,1140,212.4000000000001,15.705412599822544
123,2023-01-23,2023,1,January,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,9,120,4,115.19999999999999,1036.8,990,46.799999999999955,4.513888888888885
124,2023-01-21,2023,1,January,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,70,2,68.6,480.19999999999993,420,60.19999999999993,12.536443148688035
125,2023-07-18,2023,7,July,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,600,3,582.0,1746.0,1650,96.0,5.498281786941581
126,2023-07-15,2023,7,July,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,620,4,595.1999999999999,3571.2,3240,331.1999999999998,9.274193548387093
127,2022-07-14,2022,7,July,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,2,0,4,0.0,0.0,0,0.0,
128,2023-03-30,2023,3,March,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,7,240,4,230.39999999999998,1612.7999999999997,1400,212.79999999999973,13.19444444444443
129,2023-09-18,2023,9,September,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,80,2,78.4,156.8,140,16.80000000000001,10.71428571428572
130,2022-01-03,2022,1,January,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,240,4,230.39999999999998,691.1999999999999,660,31.199999999999932,4.5138888888888795
131,2022-07-17,2022,7,July,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,60,3,58.199999999999996,291.0,250,41.0,14.0893470790378
132,2022-03-30,2022,3,March,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,2,80,4,76.8,153.6,160,-6.400000000000006,-4.1666666666666705
133,2022-05-01,2022,5,May,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,9,20,5,19.0,171.0,180,-9.0,-5.263157894736842
134,2023-04-29,2023,4,April,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,3,20,4,19.2,57.599999999999994,60,-2.4000000000000057,-4.166666666666677
135,2022-10-28,2022,10,October,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,1,40,5,38.0,38.0,30,8.0,21.052631578947366
136,2022-03-05,2022,3,March,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,4,10,5,9.5,38.0,40,-2.0,-5.263157894736842
137,2022-03-28,2022,3,March,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,2,0,5,0.0,0.0,0,0.0,
138,2023-10-16,2023,10,October,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,3,80,2,78.4,235.20000000000002,210,25.200000000000017,10.71428571428572
139,2022-05-15,2022,5,May,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,6,70,5,66.5,399.0,360,39.0,9.774436090225564
140,2023-06-06,2023,6,June,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,40,2,39.2,548.8000000000001,560,-11.199999999999932,-2.0408163265305994
